timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1508596038656,417,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-1,text,true,,0,0,1,1,0,0,0
1508596039073,65,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-1,text,true,,0,0,1,1,0,0,0
1508596039138,73,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-1,text,true,,0,0,1,1,0,0,0
1508596039211,180,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-1,text,true,,357,0,1,1,0,0,0
1508596039654,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-2,text,true,,0,0,2,2,0,0,0
1508596039655,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-2,text,true,,0,0,2,2,0,0,0
1508596039657,0,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-2,text,true,,0,0,2,2,0,0,0
1508596039658,2,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-2,text,true,,357,0,2,2,0,0,0
1508596039536,303,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-1,text,true,,114,0,2,2,16,0,1
1508596039661,284,SEAR - 0010 Search Items,200,OK,Thread Group 1-2,text,true,,114,0,2,2,1,0,2
1508596039840,400,AUTH - 0010 - Authenticated users browsing website,200,OK,Thread Group 1-1,text,true,,114,0,2,2,5,0,1
1508596039953,394,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-2,text,true,,114,0,2,2,2,0,2
1508596040365,278,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-2,text,true,,114,0,2,2,24,0,4
1508596040242,405,AUTH - 0010 - Authenticated users browsing website,200,OK,Thread Group 1-1,text,true,,114,0,2,2,15,0,1
1508596040655,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-3,text,true,,0,0,3,3,0,0,0
1508596040656,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-3,text,true,,0,0,3,3,0,0,0
1508596040658,0,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-3,text,true,,0,0,3,3,0,0,0
1508596040659,2,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-3,text,true,,357,0,3,3,0,0,0
1508596040648,96,CART - 0010 - Add to Cart,200,OK,Thread Group 1-1,text,true,,114,0,3,3,5,0,3
1508596040672,139,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-3,text,true,,114,0,3,3,42,0,1
1508596040744,123,CART - 0020 - Change Quatity,200,OK,Thread Group 1-1,text,true,,114,0,3,3,32,0,4
1508596040644,270,SEAR - 0010 Search Items,200,OK,Thread Group 1-2,text,true,,114,0,3,3,37,0,1
1508596040812,305,AUTH - 0010 - Authenticated users browsing website,200,OK,Thread Group 1-3,text,true,,114,0,3,3,29,0,4
1508596040928,221,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-2,text,true,,114,0,3,3,26,0,4
1508596041118,75,SEAR - 0010 Search Items,200,OK,Thread Group 1-3,text,true,,114,0,3,3,26,0,4
1508596041206,51,ANON - 0010 - Anonymous users browsing website,200,OK,Thread Group 1-3,text,true,,114,0,3,3,10,0,1
1508596040868,489,CART - 0030 - Place Order,200,OK,Thread Group 1-1,text,true,,114,0,3,3,40,0,2
1508596041258,120,AUTH - 0010 - Authenticated users browsing website,200,OK,Thread Group 1-3,text,true,,114,0,3,3,48,0,1
1508596041149,395,AUTH - 0010 - Authenticated users browsing website,200,OK,Thread Group 1-2,text,true,,114,0,3,3,20,0,1
