timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1508055236463,1414,OSCM - EXC - 0010 - setUp OS Command,200,OK,setUp Thread Group 1-1,text,true,,4,0,1,1,0,0,0
1508055238097,37,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-5,text,true,,0,0,9,9,0,0,0
1508055238025,110,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-1,text,true,,0,0,9,9,0,0,0
1508055238073,62,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-3,text,true,,0,0,9,9,0,0,0
1508055238108,27,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-6,text,true,,0,0,9,9,0,0,0
1508055238086,49,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-4,text,true,,0,0,9,9,0,0,0
1508055238131,4,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-9,text,true,,0,0,9,9,0,0,0
1508055238122,13,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-8,text,true,,0,0,9,9,0,0,0
1508055238064,70,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-2,text,true,,0,0,9,9,0,0,0
1508055238117,19,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-7,text,true,,0,0,9,9,0,0,0
1508055238150,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-10,text,true,,0,0,10,10,0,0,0
1508055238163,7,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-11,text,true,,0,0,11,11,0,0,0
1508055238176,3,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-13,text,true,,0,0,13,13,0,0,0
1508055238173,7,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-12,text,true,,0,0,13,13,0,0,0
1508055238190,0,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-14,text,true,,0,0,14,14,0,0,0
1508055238206,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-15,text,true,,0,0,15,15,0,0,0
1508055238136,74,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-2,text,true,,0,0,15,15,0,0,0
1508055238151,59,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-10,text,true,,0,0,15,15,0,0,0
1508055238135,76,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-5,text,true,,0,0,15,15,0,0,0
1508055238137,74,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-6,text,true,,0,0,15,15,0,0,0
1508055238207,4,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-15,text,true,,0,0,15,15,0,0,0
1508055238138,74,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-8,text,true,,0,0,15,15,0,0,0
1508055238136,77,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-7,text,true,,0,0,15,15,0,0,0
1508055238137,76,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-4,text,true,,0,0,15,15,0,0,0
1508055238191,23,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-14,text,true,,0,0,15,15,0,0,0
1508055238171,43,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-11,text,true,,0,0,15,15,0,0,0
1508055238180,35,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-12,text,true,,0,0,15,15,0,0,0
1508055238137,78,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-9,text,true,,0,0,15,15,0,0,0
1508055238136,82,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-1,text,true,,0,0,16,16,0,0,0
1508055238137,100,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-3,text,true,,0,0,17,17,0,0,0
1508055238179,59,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-13,text,true,,0,0,17,17,0,0,0
1508055238317,14,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-25,text,true,,0,0,26,26,0,0,0
1508055238330,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-26,text,true,,0,0,26,26,0,0,0
1508055238315,16,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-23,text,true,,0,0,26,26,0,0,0
1508055238315,16,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-22,text,true,,0,0,26,26,0,0,0
1508055238271,61,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-21,text,true,,0,0,26,26,0,0,0
1508055238315,16,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-24,text,true,,0,0,26,26,0,0,0
1508055238331,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-26,text,true,,0,0,26,26,0,0,0
1508055238331,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-22,text,true,,0,0,26,26,0,0,0
1508055238263,70,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-20,text,true,,0,0,26,26,0,0,0
1508055238332,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-24,text,true,,0,0,26,26,0,0,0
1508055238253,80,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-19,text,true,,0,0,26,26,0,0,0
1508055238241,93,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-18,text,true,,0,0,26,26,0,0,0
1508055238333,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-20,text,true,,0,0,26,26,0,0,0
1508055238331,4,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-23,text,true,,0,0,26,26,0,0,0
1508055238334,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-18,text,true,,0,0,26,26,0,0,0
1508055238332,3,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-21,text,true,,0,0,26,26,0,0,0
1508055238334,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-19,text,true,,0,0,26,26,0,0,0
1508055238218,118,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-16,text,true,,0,0,26,26,0,0,0
1508055238230,110,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-17,text,true,,0,0,26,26,0,0,0
1508055238341,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-27,text,true,,0,0,27,27,0,0,0
1508055238340,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-17,text,true,,0,0,27,27,0,0,0
1508055238337,5,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-16,text,true,,0,0,27,27,0,0,0
1508055238342,1,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-27,text,true,,0,0,27,27,0,0,0
1508055238331,12,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-25,text,true,,0,0,27,27,0,0,0
1508055238335,11,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-18,text,true,,0,0,27,27,0,0,0
1508055238335,11,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-23,text,true,,0,0,27,27,0,0,0
1508055238336,11,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-19,text,true,,0,0,27,27,0,0,0
1508055238342,5,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-16,text,true,,0,0,27,27,0,0,0
1508055238212,135,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-15,text,true,,0,0,27,27,0,0,0
1508055238343,3,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-27,text,true,,0,0,27,27,0,0,0
1508055238334,14,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-20,text,true,,0,0,27,27,0,0,0
1508055238343,5,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-25,text,true,,0,0,27,27,0,0,0
1508055238212,137,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-6,text,true,,0,0,27,27,0,0,0
1508055238213,136,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-7,text,true,,0,0,27,27,0,0,0
1508055238238,111,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-3,text,true,,0,0,27,27,0,0,0
1508055238332,18,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-22,text,true,,0,0,27,27,0,0,0
1508055238213,138,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-4,text,true,,0,0,27,27,0,0,0
1508055238334,17,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-24,text,true,,0,0,27,27,0,0,0
1508055238332,20,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-26,text,true,,0,0,28,28,0,0,0
1508055238214,138,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-11,text,true,,0,0,28,28,0,0,0
1508055238239,114,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-13,text,true,,0,0,28,28,0,0,0
1508055238212,141,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-8,text,true,,0,0,28,28,0,0,0
1508055238211,143,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-2,text,true,,0,0,28,28,0,0,0
1508055238219,135,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-1,text,true,,0,0,28,28,0,0,0
1508055238342,13,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-17,text,true,,0,0,28,28,0,0,0
1508055238335,20,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-21,text,true,,0,0,28,28,0,0,0
1508055238211,151,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-5,text,true,,0,0,29,29,0,0,0
1508055238214,239,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-14,text,true,,0,0,37,37,0,0,0
1508055238216,237,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-9,text,true,,0,0,37,37,0,0,0
1508055238216,237,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-12,text,true,,0,0,37,37,0,0,0
1508055238211,243,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-10,text,true,,0,0,37,37,0,0,0
1508055238540,43,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-45,text,true,,0,0,48,48,0,0,0
1508055238563,20,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-47,text,true,,0,0,48,48,0,0,0
1508055238555,29,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-46,text,true,,0,0,48,48,0,0,0
